star: moain 
star: mwayn 
stone: dug 
stone: duːg 
straight: awambro 
sun: akïn 
sun: akɨn 
sun: akʰʊn 
sun: akun 
thigh: prog 
thou: mi 
three: kerongo 
throat: dɨkab 
thunder: nagɛːn 
tomorrow: arën 
tomorrow: arən 
tomorrow: narʊn 
tomorrow: narun 
tomorrow: ngarïng 
tomorrow: ŋarɨn 
tongue: mbeneng 
tongue: mbɛneŋ 
tongue: mbïneng 
tongue: mbɪneŋ 
tongue: meneŋk 
tongue: menïng 
tongue: menɨŋ 
tooth: asarap 
tooth: iasərapʰ 
tooth: yasërap 
tree: ialal 
tree: iarar 
tree: yalal 
tree: yarar 
two: kobo 
two: kʰobo 
two: kʰoːßo 
walk: arakuma 
walk: on- 
warm: akʊŋgəpʰarəpʰo 
warm: undun 
wash: tokun- 
water: alʊm ~ arʊm 
water: alum 
water: arïm 
water: arʊm 
water: arɨm 
water: arɨːm 
water: arum 
we: e 
we two: agi 
we two: gai 
what: wariŋame 
white: kakrep 
wind: was 
wing: kokotap 
wing: kʰokʰotʰapʰ 
woman: numaro 
woman: numaroːgo 
wood: asarop 
wood: yarar 
yellow: kuukuur 
yes: ao 
yes: awo 
yesterday: arën 
yesterday: arən 
yesterday: narʊn 
yesterday: narun 
yesterday: ngarïng 
yesterday: ŋarɨn 
yesterday: ŋarɨŋ 
you: o 
you two: agu 
you two: gao 
you two: gau 
