rope: ko’nop	litar	lʸi’tar	tërkuzë	varg 
fingernail: thua	’θua 
arm: dorë 
wing: krah 
gut: guxim	thelb	’zor̃ə 
guts: guxim	thelb	’zor̃ə 
insides: guxim	thelb	’zor̃ə 
intestine: guxim	thelb	’zor̃ə 
intestines: guxim	thelb	’zor̃ə 
vomit: guk’son	vjella	vyel 
breath: frü’mos	marr frymë 
breathe: frü’mos	marr frymë 
laughter: kʸeš	qeshur 
cogitate: men’dohet	të menduar 
reflect: men’dohet	të menduar 
sniff: erë	nu’hat 
afraid: frikë	tmer̃	’frikə	’tutə 
be afraid: frikë	tmer̃	’frikə	’tutə 
fear: frikë	tmer̃	’frikə	’tutə 
fright: frikë	tmer̃	’frikə	’tutə 
alive: i ’gʸalə	jetuar	ye’ton	’yetə 
be alive: i ’gʸalə	jetuar	ye’ton	’yetə 
life: i ’gʸalə	jetuar	ye’ton	’yetə 
live: i ’gʸalə	jetuar	ye’ton	’yetə 
living: i ’gʸalə	jetuar	ye’ton	’yetə 
beat: goditur	go’det	r̃eh 
hit: goditur	go’det	r̃eh 
strike: goditur	go’det	r̃eh 
cut: pret	shkurtuar 
hack: pret	shkurtuar 
cut open: nxjerr	’čahet 
split: nxjerr	’čahet 
pierce: thikë	θer 
stab: thikë	θer 
dig: gërmoj	gər’mih	gər’mon 
tell lies: gënjejë	gə’ɲen	sendər’gʸon	špif 
turn around: kthyer	r̃otu’lon	’kθehet 
turn round: kthyer	r̃otu’lon	’kθehet 
drop: bie	bien	ra	r̃ə’zohet 
grasp: mbajë	mban 
hold in arm: mbajë	mban 
squeeze: ndrüp	ngʸeš	shtrydh	štrüð	štrə’ngon 
wring: ndrüp	ngʸeš	shtrydh	štrüð	štrə’ngon 
rub: fshij	fər’kon 
wash clothes: lahesh	lʸan 
shove: shtyjë	štün 
throw: flʸak	hedhur	heð 
bind: lidhëse	lʸið 
fasten: lidhëse	lʸið 
tie: lidhëse	lʸið 
tie up: lidhëse	lʸið 
sew: kʸep	qep 
count: mbështetet	numə’ron 
enumerate: mbështetet	numə’ron 
number: mbështetet	numə’ron 
tally: mbështetet	numə’ron 
sing: kënduar	kən’don 
have fun: luajtur	lʸo’dron	’lʸuan 
play: luajtur	lʸo’dron	’lʸuan 
float: flus’kon	plus’kon	shket 
brook: lumë	lʸumə 
stream: lumë	lʸumə 
ocean: det 
fog: mjegull	’myegul 
blaze: c̷uks	të djegur 
daylight: ditë	’ditə 
daytime: ditë	’ditə 
evil: i kekʸ	i lʸig	keq 
rot: i ’kalʸbur	kalbur 
filthy: i fə’likʸət	i pistë	i ’ndürə 
soiled: i fə’likʸət	i pistë	i ’ndürə 
blunt: i turbullt 
smooth: i lëmuar 
damp: i lagur	i ’amət	i ’lʸagət	i ’ɲomə 
wet: i lagur	i ’amət	i ’lʸagət	i ’ɲomə 
right side: e djathtë	në të djathtë	’ana e ’dreytə 
left: e majtë	i majtë	’ana e ’maytə 
inside: në	’brenda 
if: në qoftë se	nëse	nə	po	vallë 
because: për arsye se	sepse 
