tooth: tyawo 
tree: ɲimer 
tree: nyimer 
tree: nyumo 
tree: ɲumo 
two: meremi 
two: mere-mi/mere-yi/mere-njhi 
two: mereyi 
two: mremi 
two: temi 
two: te-mi/te-ri/te-nggi 
two: teri 
two: tremi 
two: t(r)e-mi/te-ri/te-vi 
walk: kwo 
walk: o 
warm: hungduwe 
warm: huŋduwe 
warm: suŋgo 
warm: sunggo\ tuwi …-af 
warm: sungguwe 
warm: suŋguwe 
warm: sunguwe 
warm: tingguwe 
warm: tiŋguwe 
water: wiye 
we: b- 
we: beghi 
we: beɣi 
we: bewi 
we: f- 
we: ngebeghi 
we: ŋebeɣi 
we: ngebewu 
we: ŋebewu 
we: p- 
wet: bra\ 
wet: farai\ 
we two: p- 
what: buɣe 
what: de bughe 
what: te fughe 
what: te fwe 
what: φuɣe 
what: φwe 
white: ʔwemy 
white: wemye 
white: ʔwemye 
white: wem(ye) 
who: dige 
who: ndige 
who: (n)dige 
who: tiɣe 
who: tighe 
who: tuge 
wind: numorighi 
wind: numoriɣi 
wind: n(y)umorighi 
wind: ɲumoriɣi 
wing: mindara 
wing: nimbraʔa 
wing: nimbre\e 
wing: nimbreʔe 
with: fu 
woman: ɲimbweg 
woman: nyumbweg 
woman: nyumb(w)eg 
woman: ɲubweg 
woman: ɲumbweg 
year: ber 
yesterday: kambe 
yesterday: ngambe 
yesterday: ŋambe 
you: nu 
you two: w- 
you: w- 
