oar,0.extinct
kqd,4.threatened
aij,2.moribund
trg,3.shifting
huy,3.shifting
aii,3.shifting
lsd,3.shifting
bjf,1.nearly extinct
tmr,0.extinct
cld,3.shifting
syn,3.shifting
hrt,2.moribund
bhn,2.moribund
tru,4.threatened
lhs,0.extinct
syc,0.extinct
mid,2.moribund
myz,0.extinct
sam,0.extinct
jpa,0.extinct
amw,3.shifting
arc,0.extinct
smp,0.extinct
hbo,0.extinct
obm,0.extinct
xdm,0.extinct
heb,5.not endangered
uga,0.extinct
xpu,0.extinct
phn,0.extinct
xsa,0.extinct
inm,0.extinct
xhd,0.extinct
rzh,4.threatened
fif,5.not endangered
xqt,0.extinct
hss,3.shifting
bhm,2.moribund
gdq,5.not endangered
hoh,3.shifting
sqt,3.shifting
shv,3.shifting
akk,0.extinct
xeb,0.extinct
cop,0.extinct
egy,0.extinct
gha,3.shifting
zen,2.moribund
tez,4.threatened
gnc,0.extinct
thv,4.threatened
ttq,5.not endangered
thz,4.threatened
taq,5.not endangered
siz,4.threatened
swn,0.extinct
cnu,4.threatened
shy,5.not endangered
tia,3.shifting
grr,4.threatened
mzb,4.threatened
oua,3.shifting
tjo,3.shifting
sds,0.extinct
rif,5.not endangered
sjs,4.threatened
gho,3.shifting
shi,5.not endangered
tzm,4.threatened
zgh,5.not endangered
kab,4.threatened
auj,3.shifting
jbn,2.moribund
blb,3.shifting
mok,3.shifting
mps,5.not endangered
ppo,5.not endangered
khh,2.moribund
mqs,4.threatened
tft,3.shifting
tvo,5.not endangered
ibu,2.moribund
gak,3.shifting
wli,4.threatened
saj,5.not endangered
gbi,3.shifting
loa,5.not endangered
tuj,4.threatened
tlb,5.not endangered
tby,5.not endangered
pgu,3.shifting
kax,3.shifting
mqo,4.threatened
ylr,0.extinct
ktg,0.extinct
nyx,0.extinct
dyn,0.extinct
dyy,1.nearly extinct
yii,2.moribund
gvn,3.shifting
vmu,0.extinct
djf,0.extinct
kky,2.moribund
ard,0.extinct
wgg,1.nearly extinct
wnm,0.extinct
pit,0.extinct
lku,0.extinct
xpa,0.extinct
nbx,0.extinct
xwk,0.extinct
xpt,0.extinct
gll,0.extinct
jbi,0.extinct
rxw,0.extinct
yww,0.extinct
ynd,0.extinct
hrp,0.extinct
bxi,0.extinct
dif,2.moribund
dit,0.extinct
nmv,0.extinct
yry,0.extinct
yda,0.extinct
xgw,0.extinct
wdu,0.extinct
zmk,0.extinct
gyf,0.extinct
bym,0.extinct
xyb,0.extinct
kgl,0.extinct
zmc,0.extinct
gyy,0.extinct
gwu,0.extinct
gnl,0.extinct
bzr,0.extinct
ljw,0.extinct
gdc,0.extinct
wrg,0.extinct
gbb,3.shifting
amx,3.shifting
aly,4.threatened
are,3.shifting
adg,0.extinct
axe,0.extinct
aer,3.shifting
axl,0.extinct
jui,0.extinct
nnv,0.extinct
nwo,0.extinct
zku,0.extinct
nnr,2.moribund
bjb,0.extinct
adt,3.shifting
gvy,0.extinct
wgu,0.extinct
yxg,0.extinct
jan,0.extinct
yub,0.extinct
xbe,0.extinct
yga,0.extinct
wdk,0.extinct
yxl,0.extinct
drl,1.nearly extinct
nys,0.extinct
wxw,0.extinct
xbp,0.extinct
xwj,0.extinct
pnj,0.extinct
xgg,0.extinct
nha,1.nearly extinct
vml,0.extinct
wbv,2.moribund
bia,0.extinct
yia,0.extinct
nrk,0.extinct
nly,1.nearly extinct
nhf,0.extinct
vma,0.extinct
yij,2.moribund
vku,1.nearly extinct
xny,2.moribund
tju,0.extinct
nrl,2.moribund
vka,0.extinct
ywg,1.nearly extinct
pnw,2.moribund
dhl,1.nearly extinct
bxn,0.extinct
pnv,0.extinct
bxj,0.extinct
wri,0.extinct
dhr,0.extinct
djl,0.extinct
dze,0.extinct
iin,0.extinct
lkm,0.extinct
nju,0.extinct
kba,0.extinct
gmr,1.nearly extinct
awk,0.extinct
kda,0.extinct
xbj,0.extinct
xda,0.extinct
xdk,0.extinct
dhu,0.extinct
tbh,0.extinct
xjt,0.extinct
xni,0.extinct
xtv,0.extinct
xrd,0.extinct
xul,0.extinct
zmu,0.extinct
gih,0.extinct
bdy,2.moribund
xjb,0.extinct
kld,1.nearly extinct
wrh,1.nearly extinct
wyb,0.extinct
yxu,0.extinct
nay,0.extinct
dda,0.extinct
xth,0.extinct
xbg,0.extinct
gjm,0.extinct
wkr,0.extinct
dmd,0.extinct
rnr,0.extinct
xwt,0.extinct
xwd,0.extinct
rbp,0.extinct
xww,0.extinct
llj,0.extinct
tjw,0.extinct
weg,1.nearly extinct
wth,0.extinct
wyi,0.extinct
dgw,0.extinct
ddr,0.extinct
pmd,0.extinct
xyy,0.extinct
yxy,0.extinct
xya,0.extinct
kgs,2.moribund
wlu,0.extinct
wkw,1.nearly extinct
gnr,0.extinct
dhx,0.extinct
gbw,0.extinct
xby,0.extinct
mwp,2.moribund
wbp,3.shifting
wrl,2.moribund
wmt,3.shifting
rxd,2.moribund
ddj,3.shifting
dmw,1.nearly extinct
gue,3.shifting
nbj,3.shifting
kux,4.threatened
pti,3.shifting
pjt,4.threatened
kdd,1.nearly extinct
ntj,3.shifting
piu,3.shifting
mpj,3.shifting
wbt,2.moribund
ktd,1.nearly extinct
tjp,1.nearly extinct
pii,0.extinct
ant,1.nearly extinct
wrm,2.moribund
mem,2.moribund
nna,3.shifting
gbd,1.nearly extinct
dbl,1.nearly extinct
dji,3.shifting
djb,2.moribund
jay,3.shifting
lja,1.nearly extinct
duj,3.shifting
dwu,5.not endangered
dwy,5.not endangered
gnn,3.shifting
guf,3.shifting
djr,3.shifting
dhg,3.shifting
dax,1.nearly extinct
rit,3.shifting
wgy,0.extinct
wrw,0.extinct
unn,0.extinct
ihw,0.extinct
zmv,0.extinct
lby,1.nearly extinct
umg,0.extinct
wua,2.moribund
bpt,0.extinct
fln,0.extinct
wih,2.moribund
wie,0.extinct
wim,3.shifting
wij,2.moribund
